algorithm,max_iters,training_time,f1_score
random_hill_climb_four_peaks,251,28.944766998291016,0.806634371353389
random_hill_climb_four_peaks,301,35.55107498168945,0.7855842751674462
random_hill_climb_four_peaks,351,39.0513961315155,0.7756961573087796
random_hill_climb_four_peaks,401,44.388391971588135,0.8149696013722834
random_hill_climb_four_peaks,451,52.76042437553406,0.3921585505025937
random_hill_climb_four_peaks,501,56.1885199546814,0.6069201311809763
random_hill_climb_four_peaks,551,63.92388677597046,0.7686924889939728
random_hill_climb_four_peaks,601,68.9869372844696,0.7400206625496114
random_hill_climb_four_peaks,651,73.38534116744995,0.09384848963615186
random_hill_climb_four_peaks,701,81.4356951713562,0.7775010398625833
random_hill_climb_four_peaks,751,91.05902695655823,0.6076398718692975
random_hill_climb_four_peaks,801,95.11373114585876,0.8154498118555406
