mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_metric,param_n_neighbors,param_weights,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0.008786280949910482,0.006729174465231869,1.6271242300669353,0.39735571595512564,euclidean,50,uniform,"{'metric': 'euclidean', 'n_neighbors': 50, 'weights': 'uniform'}",0.24546172059984214,0.24072612470402527,0.2525651144435675,0.24625098658247832,0.004865362275429344,37
0.01901586850484212,0.020290605632740814,1.526339848836263,0.1265767206636438,euclidean,50,distance,"{'metric': 'euclidean', 'n_neighbors': 50, 'weights': 'distance'}",0.250197316495659,0.2430939226519337,0.2549329123914759,0.24940805051302287,0.004865362275429342,35
0.00930929183959961,0.004576154065594457,2.0559870402018228,0.2862098987670299,euclidean,100,uniform,"{'metric': 'euclidean', 'n_neighbors': 100, 'weights': 'uniform'}",0.2265193370165746,0.24151539068666142,0.23677979479084452,0.2349381741646935,0.006259077744472679,41
0.012929042180379232,0.00170267695421052,1.730420668919881,0.22928956647748494,euclidean,100,distance,"{'metric': 'euclidean', 'n_neighbors': 100, 'weights': 'distance'}",0.23204419889502761,0.24388318863456984,0.23914759273875297,0.23835832675611682,0.004865362275429344,39
0.019864002863566082,0.013114815078327076,10.939771970113119,0.13051129095839423,manhattan,1,uniform,"{'metric': 'manhattan', 'n_neighbors': 1, 'weights': 'uniform'}",0.40568271507498027,0.4246250986582478,0.430939226519337,0.42041568008418834,0.010731953725004547,1
0.050899664560953774,0.050487405416000906,10.435824235280355,0.04891561836536236,manhattan,1,distance,"{'metric': 'manhattan', 'n_neighbors': 1, 'weights': 'distance'}",0.40568271507498027,0.4246250986582478,0.430939226519337,0.42041568008418834,0.010731953725004547,1
0.0073121388753255205,0.0016601704591520617,11.152554194132486,0.1488821653820654,manhattan,3,uniform,"{'metric': 'manhattan', 'n_neighbors': 3, 'weights': 'uniform'}",0.4080505130228887,0.4127861089187056,0.4135753749013418,0.41147066561431206,0.002439783871480073,4
0.008068084716796875,0.0003947693814610064,10.33678388595581,0.2834427036865499,manhattan,3,distance,"{'metric': 'manhattan', 'n_neighbors': 3, 'weights': 'distance'}",0.4135753749013418,0.4167324388318863,0.4246250986582478,0.4183109707971586,0.004647072279046478,3
0.03647947311401367,0.03828078055710779,9.909497022628784,0.22339952043820252,manhattan,5,uniform,"{'metric': 'manhattan', 'n_neighbors': 5, 'weights': 'uniform'}",0.38595106550907654,0.40410418310970797,0.4175217048145225,0.40252565114443567,0.012936901713385168,6
0.007426261901855469,0.0004028705410088357,9.714278062184652,0.019821766247582456,manhattan,5,distance,"{'metric': 'manhattan', 'n_neighbors': 5, 'weights': 'distance'}",0.39700078926598265,0.4175217048145225,0.4143646408839779,0.409629044988161,0.009022061667709675,5
0.01829679807027181,0.01166752428907881,10.060974995295206,0.23227693675554625,manhattan,10,uniform,"{'metric': 'manhattan', 'n_neighbors': 10, 'weights': 'uniform'}",0.3756906077348066,0.40015785319652725,0.40726124704025257,0.39436990265719546,0.013522859537907297,8
0.008373498916625977,0.0018541629209994674,10.129294236501059,0.09633606093365756,manhattan,10,distance,"{'metric': 'manhattan', 'n_neighbors': 10, 'weights': 'distance'}",0.38595106550907654,0.4064719810576164,0.40410418310970797,0.39884240989213365,0.009166667398150145,7
0.015136162439982096,0.010182141916838134,10.547344287236532,0.032699533140789175,manhattan,25,uniform,"{'metric': 'manhattan', 'n_neighbors': 25, 'weights': 'uniform'}",0.35280189423835834,0.36148382004735596,0.3701657458563536,0.36148382004735596,0.007088762738914743,10
0.007631778717041016,0.0014800771531036905,10.17792280515035,0.254602865702194,manhattan,25,distance,"{'metric': 'manhattan', 'n_neighbors': 25, 'weights': 'distance'}",0.35911602209944754,0.3638516179952644,0.3780584056827151,0.367008681925809,0.008048965293753412,9
0.013255834579467773,0.006428441487598938,11.14741325378418,0.09450922652216474,manhattan,50,uniform,"{'metric': 'manhattan', 'n_neighbors': 50, 'weights': 'uniform'}",0.33859510655090763,0.35122336227308604,0.35359116022099446,0.34780320968166273,0.006582476192158284,12
0.007638216018676758,6.205695639164553e-05,11.078822374343872,0.4369451869233927,manhattan,50,distance,"{'metric': 'manhattan', 'n_neighbors': 50, 'weights': 'distance'}",0.3409629044988161,0.35359116022099446,0.35674822415153906,0.3504340962904499,0.006820037567385269,11
0.008897225062052408,0.0010177000931620985,11.339744408925375,0.34087087543635125,manhattan,100,uniform,"{'metric': 'manhattan', 'n_neighbors': 100, 'weights': 'uniform'}",0.3007103393843725,0.31570639305445936,0.31333859510655093,0.3099184425151276,0.006582476192158284,18
0.008208354314168295,0.0011795576072045795,9.069113969802856,1.6501132454478833,manhattan,100,distance,"{'metric': 'manhattan', 'n_neighbors': 100, 'weights': 'distance'}",0.31176006314127863,0.32202052091554856,0.3212312549329124,0.3183372796632465,0.004661942948347625,13
0.019501288731892902,0.011024934164745238,1.681723674138387,0.23763705661494983,minkowski,1,uniform,"{'metric': 'minkowski', 'n_neighbors': 1, 'weights': 'uniform'}",0.3196527229676401,0.31412786108918705,0.30465666929755325,0.31281241778479346,0.0061923716369059875,14
0.006791273752848308,0.0004948292969582487,2.271679083506266,0.34753557110105,minkowski,1,distance,"{'metric': 'minkowski', 'n_neighbors': 1, 'weights': 'distance'}",0.3196527229676401,0.31412786108918705,0.30465666929755325,0.31281241778479346,0.0061923716369059875,14
0.013595660527547201,0.009731508370106178,2.5118723710378013,0.030289865191496138,minkowski,3,uniform,"{'metric': 'minkowski', 'n_neighbors': 3, 'weights': 'uniform'}",0.2959747434885556,0.31018153117600633,0.31018153117600633,0.30544593528018943,0.006697143941782629,21
0.06835738817850749,0.0564296759807543,1.9341646035512288,0.2912312200480592,minkowski,3,distance,"{'metric': 'minkowski', 'n_neighbors': 3, 'weights': 'distance'}",0.3007103393843725,0.30860299921073403,0.30939226519337015,0.3062352012628256,0.003919932761313167,19
